Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1732 ,	11.589
0.01 ,	1679 ,	12.15
0.01 ,	1597 ,	6.344
0.01 ,	1631 ,	7.387
0.01 ,	1591 ,	11.482
0.01 ,	1669 ,	13.024
0.01 ,	1437 ,	5.638
0.01 ,	1692 ,	13.289
0.01 ,	1456 ,	6.517
0.01 ,	1560 ,	12.054
0.01 ,	1597 ,	11.545
0.01 ,	1537 ,	8.973
0.01 ,	1451 ,	4.724
0.01 ,	1542 ,	8.09
0.01 ,	1382 ,	4.935
0.01 ,	1744 ,	10.853
0.01 ,	1929 ,	8.063
0.01 ,	1737 ,	12.891
0.01 ,	1714 ,	10.154
0.01 ,	1701 ,	10.794
0.01 ,	1695 ,	11.481
0.01 ,	1921 ,	10.65
0.01 ,	1651 ,	11.234
0.01 ,	1739 ,	13.296
0.01 ,	1583 ,	8.637
0.01 ,	1496 ,	6.144
0.01 ,	1624 ,	10.287
0.01 ,	1628 ,	9.003
0.01 ,	1544 ,	9.226
0.01 ,	1558 ,	8.131
0.01 ,	1499 ,	10.061
0.01 ,	1727 ,	10.295
0.01 ,	1684 ,	9.272
0.01 ,	1544 ,	9.077
0.01 ,	1922 ,	11.472
0.01 ,	1647 ,	11.301
0.01 ,	1620 ,	8.242
0.01 ,	1766 ,	10.73
0.01 ,	1771 ,	12.116
0.01 ,	1570 ,	9.459
0.01 ,	1691 ,	9.32
0.01 ,	1801 ,	13.139
0.01 ,	1497 ,	9.21
0.01 ,	1622 ,	10.801
0.01 ,	1734 ,	12
0.01 ,	1638 ,	10.112
0.01 ,	1950 ,	10.711
0.01 ,	1543 ,	7.628
0.01 ,	1526 ,	8.822
0.01 ,	1474 ,	6.167
0.01 ,	1603 ,	11.838
0.01 ,	1747 ,	11.587
0.01 ,	1699 ,	9.361
0.01 ,	1651 ,	9.522
0.01 ,	1580 ,	7.221
0.01 ,	1607 ,	6.528
0.01 ,	1756 ,	10.864
0.01 ,	1461 ,	6.676
0.01 ,	1842 ,	11.064
0.01 ,	1533 ,	8.889
0.01 ,	1572 ,	10.324
0.01 ,	1635 ,	8.636
0.01 ,	1946 ,	14.338
0.01 ,	1658 ,	10.381
0.01 ,	1699 ,	10.068
0.01 ,	1748 ,	15.112
0.01 ,	1521 ,	9.593
0.01 ,	1714 ,	11.322
0.01 ,	1676 ,	9.505
0.01 ,	1534 ,	7.963
0.01 ,	1730 ,	12.573
0.01 ,	1717 ,	9.619
0.01 ,	1683 ,	10.949
0.01 ,	1505 ,	15.348
0.01 ,	1637 ,	8.311
0.01 ,	1643 ,	6.282
0.01 ,	1911 ,	12.085
0.01 ,	1635 ,	9.317
0.01 ,	1447 ,	6.547
0.01 ,	1589 ,	7.93
0.01 ,	1622 ,	9.833
0.01 ,	1633 ,	13.904
0.01 ,	1574 ,	8.823
0.01 ,	1659 ,	9.245
0.01 ,	1759 ,	11.974
0.01 ,	1444 ,	5.766
0.01 ,	1657 ,	10.907
0.01 ,	1713 ,	11.099
0.01 ,	1721 ,	12.093
0.01 ,	1726 ,	8.917
0.01 ,	1673 ,	8.183
0.01 ,	1579 ,	9.261
0.01 ,	1482 ,	7.29
0.01 ,	1746 ,	10.285
0.01 ,	1697 ,	8.87
0.01 ,	1729 ,	9.962
0.01 ,	1676 ,	10.722
0.01 ,	1812 ,	12.168
0.01 ,	1831 ,	13.605
0.01 ,	1689 ,	9.85
0.01 ,	1721 ,	10.117
0.01 ,	1653 ,	10.255
0.01 ,	1734 ,	11.411
0.01 ,	1632 ,	9.204
0.01 ,	1651 ,	12.038
0.01 ,	1558 ,	7.475
0.01 ,	1723 ,	10.524
0.01 ,	1648 ,	9.506
0.01 ,	1455 ,	9.149
0.01 ,	1802 ,	12.722
0.01 ,	1643 ,	14.697
0.01 ,	1599 ,	6.031
0.01 ,	1707 ,	10.611
0.01 ,	1516 ,	8.601
0.01 ,	1675 ,	10.417
0.01 ,	1706 ,	9.555
0.01 ,	1795 ,	14.281
0.01 ,	2016 ,	11.988
0.01 ,	1815 ,	11.731
0.01 ,	1721 ,	9.379
0.01 ,	1683 ,	9.523
0.01 ,	1883 ,	9.441
0.01 ,	1683 ,	11.034
0.01 ,	1517 ,	12.833
0.01 ,	1531 ,	12.022
0.01 ,	1691 ,	7.633
0.01 ,	1423 ,	6.567
0.01 ,	1728 ,	10.409
0.01 ,	1642 ,	9.489
0.01 ,	1757 ,	13.813
0.01 ,	1664 ,	9.077
0.01 ,	1782 ,	8.36
0.01 ,	1700 ,	10.291
0.01 ,	1770 ,	10.562
0.01 ,	1710 ,	10.254
0.01 ,	1714 ,	11.37
0.01 ,	1469 ,	6.344
0.01 ,	1550 ,	14.459
0.01 ,	1645 ,	8.43
0.01 ,	1668 ,	9.677
0.01 ,	1670 ,	10.172
0.01 ,	1653 ,	10.989
0.01 ,	1703 ,	11.969
0.01 ,	1607 ,	9.044
0.01 ,	1612 ,	9.756
0.01 ,	1850 ,	12.988
0.01 ,	1654 ,	11.278
0.01 ,	1667 ,	10.557
0.01 ,	1437 ,	5.512
0.01 ,	1457 ,	7.115
0.01 ,	1414 ,	5.37
0.01 ,	1723 ,	12.324
0.01 ,	1739 ,	10.249
0.01 ,	1750 ,	11.019
0.01 ,	1297 ,	8.193
